stem,세부직무명,회사명,담당업무,우대사항,스킬
0001_GI48127233_씨제이올리브영(주) 채용 - 데이터분석가 _ 잡코리아,데이터 분석가,씨제이올리브영(주),"['신규 데이터 발굴 및 수집 오라클', '빅퀴리 등 물류관련 다양한 내부 시스템 및 외부 연동 시스템으로부터 유의미한 데이터를 발굴', '정제 기존 수기관리 데이터(엑셀 등)DB화 및 분석 자산 전환 물류 인사이트 분석 및 발굴 물류 운영 전반(입고', '보다 정확하고 신뢰도 높은 지표 생성 및 고도화 Tableau 등 시각화 도구를 활용한 직관적 대쉬 보드 구성 및 분석 결과 시각화']","['컴퓨터/산업공학/통계등 관련 석사 이상 오라클,GCP(BigQuery),AWS(Redshift)등 레거시 및 클라우드 경험', '우대 물류 또는 공급망 관리(SCM)분야 실무 경험', '우대 입고,출고,배송,반품 등 물류 운영 전반에 대한 데이터 분석 및 운영 프로세스 개선 프로젝트 수행 경험', '우대 분석 프로젝트 리딩 경험']","['SQL', 'Python', 'R', 'Tableau', 'BigQuery', 'Redshift', 'AWS', 'GCP']"
0002_GI48293597_씨제이올리브영(주) 채용 - 데이터분석가 _ 잡코리아,데이터 분석가,씨제이올리브영(주),"['신규 데이터 발굴 및 수집 오라클', '빅퀴리 등 물류관련 다양한 내부 시스템 및 외부 연동 시스템으로부터 유의미한 데이터를 발굴', '정제 기존 수기관리 데이터 (엑셀 등)DB화 및 분석 자산 전환 물류 인사이트 분석 및 발굴 물류 운영 전반(입고', '보다 정확하고 신뢰도 높은 지표 생성 및 고도화 Tableau 등 시각화 도구를 활용한 직관적 대쉬 보드 구성 및 분석 결과 시각화']","['컴퓨터/산업공학/통계등 관련 석사 이상 오라클,GCP(BigQuery),AWS(Redshift)등 레거시 및 클라우드 경험', '우대 물류 또는 공급망 관리(SCM)분야 실무 경험', '우대 입고, 출고,배송,반품 등 물류 운영 전반에 대한 데이터 분석 및 운영 프로세스 개선 프로젝트 수행 경험', '우대 분석 프로젝트 리딩 경험']","['SQL', 'Python', 'R', 'Tableau', 'BigQuery', 'Redshift', 'AWS', 'GCP']"
0003_GI48378680_㈜컴투스 채용 - [컴투스홀딩스] 데이터분석가 (4-8년차) _ 잡코리아,데이터 분석가,㈜컴투스,[],"['1.실제 서비스에서 발생하는 데이터를 사용해 분석 모델을 개발 하고 운영해 본 경험을 갖고 계시면 더 좋습니다. 모델 주제는 '이탈 유저예측', '유저 군집 분류', '상품 추천' 등 어떤 것이라도 상관 없습니다. 현실에서 발생하는 데이터를 사용한 경험이 중요합니다. 2.'AI/빅데이터공학', '응용수학', '통계학', '컴퓨터 공학 중 하나를 전공하셨으면 더 좋습니다.']","['SQL', 'Python', 'R']"
0004_GI48152557_넛지헬스케어㈜ 채용 - [캐시워크] 데이터분석가 - 석사_박사 _ 잡코리아,데이터 분석가,넛지헬스케어㈜,[],"['GCP(BigQuery), Google Analytics 사용 경험이 있으신 분', '데이터 기반으로 서비스 품질 향상 및 마케팅 성과에 기여한 경험이 있으신 분', '데이터에 기반한 가설을 세워 A/B Test를 설계하고 진행해보신 분', '머신러닝 또는 예측 분석 경험이 있으신 분', '대용량 데이터 처리 경험이 있으신 분']","['SQL', 'Python', 'Tableau', 'BigQuery', 'AWS', 'Google Analytics', 'GCP']"
0006_GI48113922_CJ ENM 채용 - Data Analyst-글로벌 K팝 플랫폼(Mnet Plus 전직군채용) _ 잡코리아,데이터 분석가,CJ ENM,"['Data Analyst Formation방식 등에 유연하게 대응할 수 있는 분', '콘텐츠에 대한 진심과 애정으로 콘텐츠을 사랑하며 진정한 덕업일치를 이루고 싶은 분']","['도메인 내 다양한 서비스와 비즈니스 영역에 대한 데이터 분석 및 문제 정의를 주도적으로 수행, 비즈니스 변화에 따라 데이터 리소스를 관리하고, 적절한 데이터 분석과 리소스 계획 수립 데이터분석 파트 내에서 리더십을 발휘하며 팀원들의 멘토링 및 성장 코칭, 글로벌 B2C 서비스에서 데이터 분석 경험을 보유하신 분', '클라우드 환경에서 대용량 데이터 분석 경험을 보유하신 분', '캐릭터&성향 직군과 관계없이 어울릴 수 있고,적극적인 커뮤니케이션을 하려고 노력하는 분', '우선순위를 명확히 하여 Resource 대비 최대의 Impact를 만들어 줄 수 있는 분']",['Google Analytics']
0007_GI48283210_㈜티빙 채용 - [티빙] 데이터 분석 (Senior Data Analyst) 경력채용 _ 잡코리아,데이터 분석가,㈜티빙,[],"[""TVING의 데이터가'쓸 수 있는 상태'로 흐르도록 만드는 역할을 합니다."", ''데이터가 생성되고, 적재되고, 가공되고, 지표로 정의되고, 마침내 조직의 의사결정에 사용되기까지의 모든 과정을 책임지고 있습니다.', 'DataEngineering', 'AI', 'AX 등과 가까운 조직 구조에 있어 분석가로서 데이터 엔지니어링과 모델링', '자동화 영역까지 자연스럽게 협업할 수 있는 환경입니다.', '담당하게 될 업무 1.비즈니스 인사이트 &분석 및 BI 제작 -숫자 변화의 원인과 패턴을 구조적으로 파악 -Retention, Funnel, Cohort 등 분석 방식을 통해 비즈니스 의사결정에 직접 연결되는 인사이트 도출 -단순 수치 나열이 아닌, 인과관계를 숫자로 설명하고 설득하는 분석 2.데이터 파이프라인 & ETL', '이벤트', '정형/비정형 데이터를 안정적으로 적재']","['SQL', 'Tableau', 'Redash', 'Amplitude', 'Git']"
0008_GI48319777_㈜피알앤디컴퍼니 채용 - [ 헤이딜러 ] Data Analyst _ 잡코리아,데이터 분석가,㈜피알앤디컴퍼니,"['데이터 가시성을 확보합니다.', '헤이딜러 내차팔기/내차사기 비즈니스의 핵심 지표를 설계합니다.', '효율적, 효과적인 광고 집행을 위해 퍼포먼스 마케팅의 실제 성과를 분석합니다.', '데이터 기반 의사결정을 위해 데이터를 분석하고 인프라를 관리합니다.', 'A/B 테스트를 설계 및 검증합니다.', '업무환경 notion jira github']",[],"['BigQuery', 'AWS', 'Git', 'R']"
0010_GI48377658_㈜인피닉 채용 - 인피닉 AI연구소 공간 데이터 분석가 채용(Spatial Scientist) _ 잡코리아,데이터 분석가,㈜인피닉,[],"['공간 데이터 분석, 수집, 구축, 알고리즘 개발 등 측량 및 지형 공간 정보기사, 공간 데이터 핸들링(SHP)', '공간 데이터 수집(AP 등 오픈 데이터)', '공간 데이터 구축(PostgreSQL)', 'DB관련 서비스 업종 구축 경험(관련업무)', 'Cesium.jsor3D GIS라이브러리 활용경험 Cesium Certified Developer 자격 보유자 개인포트폴리오 제출 필수 기본우대 측량 및 지형 공간 정보기사', '공간데이터 구축', 'DB관련구축경험', '공간정보학과']","['Python', 'PostgreSQL']"
0011_GI48365962_(주)당근마켓 채용 - Data Analyst(Data Ops) Intern - Community _ 잡코리아,데이터 분석가,(주)당근마켓,"['Data Analyst Intern 서비스 로그 및 이벤트 데이터의 정의', 'QA 모니터링 전 과정을 관리해요', '로그 설계와 데이터 스키마의 일관성을 점검하고 변경 시 품질 영향도를 분석해요', '데이터 카탈로그로 사용되는 사내 플랫폼을 기반으로 품질 상태를 가시화해요', '구성원이 신뢰할 수 있는 데이터 품질 기준과 가이드라인을 함께 만들어가요']","['전공 혹은 데이터 분석 프로젝트를 통해 빠른 이해와 성장을 경험하신 분', '프로덕트가 만들어지는 과정에 참여하고,함께 성장할 수 있는 분', '빠르게 성장하는 불확실한 환경에서 일하는 것을 즐기는 분']","['SQL', 'Superset', 'BigQuery', 'Amplitude']"
0013_GI48034540_플렉스㈜ 채용 - [Product] Data Analyst _ 잡코리아,데이터 분석가,플렉스㈜,"['Data Analyst 이런 일을 함께하게 됩니다.', '플렉스팀의 성장에 기여할 수 있는 Growth 분석을 수행합니다.', '리드 획득 관점에서 온/오프라인 광고 마케팅 효과를 측정 및 관리합니다.', '리드가 유료고객사로 전환되는 여정에 적극 참여하여 마케팅, 유료고객사 관리를 위한 제품 사용 지표,예측 모델 등을 개발하여 고객사 리텐션에 기여합니다.', 'flex 제품 개선을 위한 Product 분석을 수행합니다.', 'User Behavior 분석을 위한 웹과 모바일 제품의 이벤트 로그를 설계 및 관리합니다.', '릭은 이이를표연융 ㅋㅋ VOC,세일즈 블록커를 기반으로 제품 개선의 비즈니스 임팩트를 측정합니다.', '고객의 HR 문제 해결을 위한 People Analytics를 개척합니다.']","['B2B SaaS에서 데이터 분석 경험을 갖고 계신 분', 'Data Science 방법론(ML/DL/LLM)도 같이 접목해서 문제 해결에 솔루션을 찾으실 수 있는 분', 'People Analytics 주제로 HR 데이터 분석 및 HR 활용 사례를 경험하신 분', '사내 데이터 분석 뿐만 아니라,데이터를 활용한 제품 개발에 대한 경험이 있으신 분', 'Spark, Presto, Airflow,Hadoop 등의 데이터 처리 기술 활용 경험이 있으신 분']","['SQL', 'Python', 'Spark', 'Airflow', 'Amplitude', 'Hadoop']"
